Unnamed: 0	Role	Utterances	Personality	Emotion
37867	Joey	 Hey you too   	[0, 0, 1, 0, 0]	joy
46297	Phoebe	 I know  I know  we can drive  we can vote  we can work  what more do these broads want   	[1, 0, 0, 0, 0]	anger
15613	Ross	 No  it \x92s really not that bad  I mean  I I for one  feel perfectly safe   	[0, 0, 0, 0, 1]	joy
2708	Chandler	" No no no no  we re done "" "	[0, 0, 0, 1, 0]	joy
43729	Ross	 Are you gay    	[0, 0, 0, 0, 1]	joy
38298	Ross	 Oh yeah  You \x92re going further down  Downtown   	[0, 0, 0, 0, 1]	joy
30330	Chandler	 Yes  on a scale from 1 to 10  10 being the dumbest a person can look  you are definitely 19   	[0, 0, 0, 1, 0]	anger
66	Phoebe	  Raindrops on roses and rabbits and kittens   bluebells and sleighbells and  something with mittens    La la la la   something and noodles with string    These are a few     	[1, 0, 0, 0, 0]	anger
2445	Joey	" Oh  really  You know what your great friend did  We re out to dinner  ok   We re getting along  having a really nice time  I was thinking she was really cool  And then  out of nowhere    "" "	[0, 0, 1, 0, 0]	anger
27776	Monica	 Are you okay   	[0, 1, 0, 0, 0]	anger
33162	Joey	 What if I smack my head on the concrete   	[0, 0, 1, 0, 0]	joy
12074	Joey	 No o o    	[0, 0, 1, 0, 0]	joy
45167	Joey	" Hey  It is unacceptable that you two would have sex with Emma in       the next room  I m gonna have to tell Rachel about this  "" "	[0, 0, 1, 0, 0]	joy
47630	Joey	"  That s a huge thing "" "	[0, 0, 1, 0, 0]	joy
7846	Phoebe	 I \x92m telling you he \x92s dead  What we are about to have here is a dead fat guy on a stick   	[1, 0, 0, 0, 0]	anger
23080	Monica	 Look  if you want you can keep it at our place until you find out what to do with it   	[0, 1, 0, 0, 0]	anger
35393	Joey	 Is it her fault that some of them didn \x92t make it to you   	[0, 0, 1, 0, 0]	joy
1691	Rachel	 Yes I can    	[0, 0, 1, 0, 0]	anger
39307	Chandler	 Do you think I work at some kind of boot pricing company   	[0, 0, 0, 1, 0]	anger
4958	Phoebe	 Ross says hi   	[1, 0, 0, 0, 0]	anger
13131	Ross	 Whoa whoa whoa  hey  Now remember what we talked about  you gotta be strong   	[0, 0, 0, 0, 1]	joy
2191	Joey	 Wait a second  wait a second  where have I seen that cowgirl outfit before     	[0, 0, 1, 0, 0]	joy
41918	Rachel	 Thank you   Well  I guess we have some time to kill   	[0, 0, 1, 0, 0]	joy
36776	Monica	 Well  are you going to be able to do this   	[0, 1, 0, 0, 0]	anger
2167	Monica	 Oh  you did it   	[0, 1, 0, 0, 0]	joy
43956	Joey	" Well  I m starting to make good money on the show and    I m thinking    I should probably do something with it "" "	[0, 0, 1, 0, 0]	anger
35110	Monica	 Joey  This is not like learning to ride a horse  This is like learning to \x85grow a turtleneck   	[0, 1, 0, 0, 0]	joy
33007	Chandler	 Are you eating the cheesecake without me    	[0, 0, 0, 1, 0]	joy
26489	Rachel	 Okay  Okay okay look \x97no I did  I just wanted this stuff and I know how you feel about Pottery Barn  Just \x85 Come on don \x92t be mad   	[0, 0, 1, 0, 0]	anger
25813	Joey	 Well maybe I love ya \x92   	[0, 0, 1, 0, 0]	joy
31731	Phoebe	 The coins have finally forgiven me   	[1, 0, 0, 0, 0]	anger
23128	Phoebe	" Yes  Definitely  Yes  Let s live in an apartment that we both live in   "" "	[1, 0, 0, 0, 0]	anger
1742	Joey	"  Ok ay  I just  I can t believe you re calling me "" "	[0, 0, 1, 0, 0]	anger
17555	Phoebe	 Okay  I guess  I mean \x85 I don \x92t know  it \x92s just  I guess I know it \x92s going to be over soon   	[1, 0, 0, 0, 0]	joy
5492	Phoebe	 So you do know who he is   Sorry   	[1, 0, 0, 0, 0]	fear
39741	Rachel	 What   Joey  you don \x92t want to go on a date with a pregnant lady   	[0, 0, 1, 0, 0]	anger
42009	Joey	 I mean seriously  she \x92s like the perfect woman  I mean I know she turned me down  but if she hadn \x92t and wanted to be with me  I would take her in my arms and \x85  I haven \x92t bummed you guys out like this in a while have I   	[0, 0, 1, 0, 0]	joy
8240	Chandler	 Ahh  do you have any coconut flavoured deities   	[0, 0, 0, 1, 0]	joy
1663	Phoebe	  Oooh  You are a very bad man   	[1, 0, 0, 0, 0]	anger
47047	Chandler	"  That s really not the kind of thing we are looking for Zack "" "	[0, 0, 0, 1, 0]	anger
17481	Rachel	 No we \x85  	[0, 0, 1, 0, 0]	anger
33731	Rachel	 So  if I wanna have my kid when I \x92m 35  I don \x92t have to get pregnant until I \x92m 34  Which gives Prada four years to start making maternity clothes  Oh wait  but I do want to be married for a year before I get pregnant \x85  	[0, 0, 1, 0, 0]	surprise
39849	Joey	 Ah  well  if I want the girl to kiss me  first thing I do is make my lips\r\r look irresistible    	[0, 0, 1, 0, 0]	joy
36074	Phoebe	 Yes  Very good   	[1, 0, 0, 0, 0]	joy
45285	Phoebe	" Hey you guys  Ok  we ve got great news "" "	[1, 0, 0, 0, 0]	anger
23883	Ross	"  Umm \x85 Wow  That s that s some pricey nut "" "	[0, 0, 0, 0, 1]	anger
2936	Ross	" See  Rach  uh  see  I don t think that swearing off guys altogether is the answer  I really don t  I think that what you need is to develop a more sophisticated screening process "" "	[0, 0, 0, 0, 1]	joy
12695	Joey	  Yeah eah  200 dollar reward  split five ways    	[0, 0, 1, 0, 0]	anger
29380	Phoebe	" Oh  Here it is   Ooh  Joey  Why did you sign it  ""Son of a bitch ""   "	[1, 0, 0, 0, 0]	anger
20705	Ross	 Okay  look  I I know what you guys are going to say \x85  	[0, 0, 0, 0, 1]	joy
39674	Joey	 You hung up on the pizza place  I don \x92t hang up on your friends   	[0, 0, 1, 0, 0]	joy
21835	Joey	" Boy  that guy s underwear sucks "" "	[0, 0, 1, 0, 0]	anger
1811	Rachel	" I know    Honey  seriously  I did it all  The luggage that I m taking is in the bedroom  this is Emma s Paris stuff  these are the boxes that I m having shipped  and that s the sandwich that I made for the plane   "" "	[0, 0, 1, 0, 0]	anger
40914	Joey	 What are they doing out here  The coast \x92s all the way over there    	[0, 0, 1, 0, 0]	anger
22706	Rachel	" Ohh please don t be from a real dinosaur  Please  Please  Please  Please  Please  Please  Please  Please   Made in Mexico  Yes   Ugh  who would buy this   "" "	[0, 0, 1, 0, 0]	anger
45979	Phoebe	" I m still looking through mine   "" "	[1, 0, 0, 0, 0]	joy
41670	Chandler	 Hey  Did you have the baby yet   	[0, 0, 0, 1, 0]	anger
25204	Monica	 Joey  you know you don \x92t actually have one   	[0, 1, 0, 0, 0]	anger
6567	Phoebe	 What are you saying I should do   	[1, 0, 0, 0, 0]	anger
369	Phoebe	  Ooh  I found it    	[1, 0, 0, 0, 0]	joy
6315	Joey	 Yeah  I know  I sleep in the next room   	[0, 0, 1, 0, 0]	joy
37768	Rachel	 You think it looked amazing   	[0, 0, 1, 0, 0]	joy
15254	Phoebe	 Oh did you \x97what did you \x97did you work for two days straight   	[1, 0, 0, 0, 0]	joy
22219	Joey	 Yeah  Because this commercial belongs to me and Mitch   	[0, 0, 1, 0, 0]	anger
3097	Chandler	" C\ mon  I\ ll show you to my room     That sounds so weird when it\ s not followed by ""No thanks  it\ s late ""   "	[0, 0, 0, 1, 0]	anger
3236	Chandler	" Yes  Way to go  man   Still got the egg  huh "" "	[0, 0, 0, 1, 0]	joy
46711	Ross	 Oh  no  The MET  The Metropolitan Museum of Art   	[0, 0, 0, 0, 1]	anger
19335	Ross	" Who needs a lease when it s family "" "	[0, 0, 0, 0, 1]	anger
244	Joey	" I couldn t  He was saying all these really nice things   about me  I didn t want him to get mad and take  em all back  I m on a edge   on Chandler "" "	[0, 0, 1, 0, 0]	joy
44246	Ross	 I know  I mean a PhD is just as good as an MD   	[0, 0, 0, 0, 1]	surprise
37833	Chandler	 What \x92s funny about that   	[0, 0, 0, 1, 0]	joy
4633	Rachel	 Uh  we are here to break up with you   	[0, 0, 1, 0, 0]	anger
1918	Chandler	 Rachel    with handcuffs  Interesting    	[0, 0, 0, 1, 0]	anger
9935	Monica	 No  Rachel is meeting us here   	[0, 1, 0, 0, 0]	joy
38238	Monica	 You \x92re getting a crush on your sister \x92s fianc\xc3\xa9e   	[0, 1, 0, 0, 0]	joy
12309	Ross	 You can see the moonlight bouncing off her head  What the hell were you thinking     	[0, 0, 0, 0, 1]	anger
8672	Ross	"  It s her first day at this new job  Your not supposed to start with her  "" "	[0, 0, 0, 0, 1]	joy
35146	Ross	 Uh huh  Yeah I I have a knack for impressions   	[0, 0, 0, 0, 1]	fear
37758	Joey	 How do you know about that story    	[0, 0, 1, 0, 0]	anger
23586	Chandler	 I know  Can you believe it  One year ago today I was just your annoying friend Chandler   	[0, 0, 0, 1, 0]	joy
38079	Ross	 I \x92m sorry about your date   	[0, 0, 0, 0, 1]	joy
38290	Ross	 Uh  in her defense  she \x92s right  I am stronger  I would destroy you   	[0, 0, 0, 0, 1]	joy
7207	Monica	 Is it the Italian guy   	[0, 1, 0, 0, 0]	anger
28438	Chandler	 Our guy has great hair   	[0, 0, 0, 1, 0]	anger
10771	Rachel	 Oh  sorry  I meant Chandler   	[0, 0, 1, 0, 0]	joy
11231	Phoebe	 I can \x92t    	[1, 0, 0, 0, 0]	anger
27572	Phoebe	 Was it my work  Were they mad  Was it Jack  Did he yell    	[1, 0, 0, 0, 0]	anger
37986	Ross	 Yes it is too slutty    	[0, 0, 0, 0, 1]	joy
5491	Ross	 At the coffeehouse  right   	[0, 0, 0, 0, 1]	anger
24886	Rachel	 Oh yeah  scared the hell out of me  I thought we \x92d lost you forever  Pheebs  you lie down   	[0, 0, 1, 0, 0]	joy
1903	Rachel	 You know what  Uhm  I have some goodbye stuff that I wanted to say to each of you and I was gonna save it until the end of the night  but come here    	[0, 0, 1, 0, 0]	joy
4574	Chandler	"  S why I m dancing   "" "	[0, 0, 0, 1, 0]	anger
37206	Joey	 Well  I don \x92t know  I think it does something to salami   	[0, 0, 1, 0, 0]	anger
33492	Rachel	 What  Wh hey   	[0, 0, 1, 0, 0]	surprise
9303	Ross	 What should I wear  now I \x92m all nervous   	[0, 0, 0, 0, 1]	sadness
40507	Joey	 Man  When you said it was a problem about your boss and the baby I figured it was something about maternity leave   	[0, 0, 1, 0, 0]	anger
15657	Monica	 Yeah  well  I \x92m using noise  Okay  All right  So  is everybody ready  Here we go   I hear something  I hear something  Where is it    	[0, 1, 0, 0, 0]	anger
28643	Ross	 It was pretty funny when I  when I hid it for a while  huh  Anyway  umm  I I am worried about that bathing suit  not because it \x92s revealing which I \x92m fine with  no I \x92m concerned about your health  sun exposure   	[0, 0, 0, 0, 1]	joy
45276	Rachel	 No  I was just going to do this myself    	[0, 0, 1, 0, 0]	anger
29445	Phoebe	 Hey  So Chandler  wanna go to the coffeehouse    	[1, 0, 0, 0, 0]	surprise
925	Phoebe	" I got married   Could someone get me a coat  I m freaking freezing "" "	[1, 0, 0, 0, 0]	joy
4308	Rachel	 Turned out it was a hat   	[0, 0, 1, 0, 0]	anger
18684	Chandler	" Uhh  yeah  She uh  she uh  she uh might ve mentioned him "" "	[0, 0, 0, 1, 0]	joy
7808	Ross	 I know  I \x92m saying you have to watch them all the time   	[0, 0, 0, 0, 1]	anger
42494	Ross	 Wow  Kind of uh  kind of a full house here  I \x92ll guess just \x85I \x92ll come back    	[0, 0, 0, 0, 1]	joy
12730	Joey	 Oh yeah  I got in there myself once  My roommate bet me five bucks that I couldn \x92t  and then he stuck a board through the handles that locked me in  Yeah  It was funny  \x91til I started feeling like I was in a coffin   	[0, 0, 1, 0, 0]	anger
18017	Ross	 Em Emily   Em Emily   Emily    	[0, 0, 0, 0, 1]	joy
42662	Ross	 Hey  I \x92m not going to rush into anything   	[0, 0, 0, 0, 1]	joy
5200	Ross	 59 seconds   Quartz  ha   	[0, 0, 0, 0, 1]	anger
29935	Joey	 No way  It \x92s mine    	[0, 0, 1, 0, 0]	anger
18803	Phoebe	" Oh  I m still mad at them but I also now that they bring happiness to lots of kids who s moms didn t kill themselves  so by supporting them  I m doing a good thing  but I m not happy about it  So there  a selfless good deed "" "	[1, 0, 0, 0, 0]	joy
32975	Joey	 Oh well  that changes everything   Y \x92know what Pheebs   	[0, 0, 1, 0, 0]	joy
6268	Joey	" Oh  hey  Come on man  don t look at me like that  she used to drive you nuts before too  remember "" "	[0, 0, 1, 0, 0]	surprise
2783	Chandler	" I m not moving out  "" "	[0, 0, 0, 1, 0]	anger
22047	Chandler	" Little   You freaked out big time  Okay  And I fixed it  We have switched places  I am the relationship and king and you are the crazy  irrational screw up    And now we re back "" "	[0, 0, 0, 1, 0]	joy
7982	Monica	 No it \x92s not  it \x92s second   	[0, 1, 0, 0, 0]	anger
47264	Chandler	 Be cause  we were talking about ways that he could beat Mike and I told him that Phoebe wanted to get married   	[0, 0, 0, 1, 0]	anger
31650	Ross	 Wow  this cologne really is every bit as good as Georgio    	[0, 0, 0, 0, 1]	anger
47438	Rachel	 Ok  See you  bye   	[0, 0, 1, 0, 0]	anger
45736	Ross	 Did you hear that  Kori Weston had a crush on me    	[0, 0, 0, 0, 1]	anger
3604	Monica	 No  give me the     	[0, 1, 0, 0, 0]	joy
1014	Phoebe	 Joey  How could you just let them leave   	[1, 0, 0, 0, 0]	anger
17028	Monica	 Okay  throw it straight this time   	[0, 1, 0, 0, 0]	joy
33535	Phoebe	 Sure   Umm  where are you from   	[1, 0, 0, 0, 0]	joy
13680	Ross	 See but  Pheebs that that is the exact opposite intent of my music  Y \x92know my music is is meant to inspire  and if it bothers you this much  then I \x85 I won \x92t play anymore   	[0, 0, 0, 0, 1]	anger
1189	Ross	" Uh  well  don t worry  I ll use the gentle cycle  Ok  um  basically you wanna use one machine for all your whites  a whole nother machine for colors  and a third for your uh  your uh  delicates  and that would be your bras and your under panty things "" "	[0, 0, 0, 0, 1]	anger
4052	Monica	" I don t think so "" "	[0, 1, 0, 0, 0]	sadness
32540	Chandler	 No not  Candy Lady   	[0, 0, 0, 1, 0]	joy
2579	Phoebe	 Really  Not even to  um  change his PAJAMAS     	[1, 0, 0, 0, 0]	anger
17303	Ross	 What does this mean  What do you  I mean do you wanna  get back together   	[0, 0, 0, 0, 1]	anger
709	Chandler	 Pick me  I look great in a tux and I will not steal focus   	[0, 0, 0, 1, 0]	joy
11645	Phoebe	  Oh my God     	[1, 0, 0, 0, 0]	anger
44804	Phoebe	" I don t know  I kinda like Bob for a girl "" "	[1, 0, 0, 0, 0]	joy
17784	Joey	 Sh shh shh    	[0, 0, 1, 0, 0]	fear
2367	Monica	" Yep  we re gonna meet the lady who could be carrying our baby "" "	[0, 1, 0, 0, 0]	joy
43639	Chandler	" Honey  you re screaming "" "	[0, 0, 0, 1, 0]	anger
28359	Joey	 Look Rach  my parents bought this fridge just after I was born  okay  Now  I have never had a problem with it  Then you show up and it breaks  What does that tell ya \x92   	[0, 0, 1, 0, 0]	anger
6003	Ross	" It s breast milk "" "	[0, 0, 0, 0, 1]	joy
16530	Monica	 This totally makes sense   	[0, 1, 0, 0, 0]	joy
2095	Joey	" But my mom always makes them  It s like a tradition  You get a little piece of turkey on your fork  a little cranberry sauce  and a tot  It s bad enough I can t be with my family because of my disease "" "	[0, 0, 1, 0, 0]	joy
40417	Monica	 I don \x92t see him  Hey  Maybe he \x92s in the sugar bowl   Joey  Nope    	[0, 1, 0, 0, 0]	joy
46379	Rachel	 OH  And the year before that  when you set up that nighttime tour of that button factory   	[0, 0, 1, 0, 0]	anger
18551	Rachel	" Oh  honey  don \x92t worry  She s gonna make it on time "" "	[0, 0, 1, 0, 0]	anger
24112	Joey	 Where is the waitress   I \x92m starving   	[0, 0, 1, 0, 0]	joy
26349	Rachel	 It was only 500 bucks   	[0, 0, 1, 0, 0]	anger
1394	Monica	 Thank you for letting us see the house again   	[0, 1, 0, 0, 0]	joy
8840	Joey	" It s ah  step ity  step and jazz hands  "" "	[0, 0, 1, 0, 0]	anger
38555	Joey	 Y \x92know I blame Ross for this   	[0, 0, 1, 0, 0]	love
286	Rachel	 Because you took three hundred bottles of shampoo   	[0, 0, 1, 0, 0]	joy
37598	Chandler	 Let \x92s call  \x91em   	[0, 0, 0, 1, 0]	anger
20989	Chandler	" It s okay  you don t have to be the best at everything "" "	[0, 0, 0, 1, 0]	joy
33679	Phoebe	 I just lost a whole year of my life   	[1, 0, 0, 0, 0]	joy
32292	Rachel	" Okay  well  that s one less thing we have to do on Monday  "" "	[0, 0, 1, 0, 0]	anger
2406	Ross	 Hey you guys  I need some fashion advice   	[0, 0, 0, 0, 1]	joy
6343	Ross	 Your Mom  your telling me  your telling me  about your Mom  what is the matter with you   	[0, 0, 0, 0, 1]	anger
38420	Phoebe	 Oh my God Eric hi  Wait  how \x92d you get this number   	[1, 0, 0, 0, 0]	anger
25242	Monica	 You \x92re right  you \x92re right I shouldn \x92t freak out   \x91Cause this is what will happen when you and I have babies  When will that be    	[0, 1, 0, 0, 0]	anger
4420	Rachel	" Oh  Ross  c mon  It s my fault  I almost lost your   "" "	[0, 0, 1, 0, 0]	anger
352	Joey 	" Dude  chill   Okay  we also kissed in  Barbados  but we didn t plan it  okay  And the only reason that that happened was because I saw you kissing Charlie "" "	[0, 0, 1, 0, 0]	anger
6481	Chandler	" You re pretending the pillow s a girl right "" "	[0, 0, 0, 1, 0]	joy
1220	Ross	" Nothing  nothing  Lee lo  the laundry s done "" "	[0, 0, 0, 0, 1]	joy
10866	Joey	 How do you mean   	[0, 0, 1, 0, 0]	joy
12975	Monica	 Oh good  I \x92m glad that \x92s catching on   	[0, 1, 0, 0, 0]	anger
25061	Chandler	 Oh good  when he comes back for his keys  I \x92ll be sure to give him your shoe   	[0, 0, 0, 1, 0]	anger
21911	Chandler	 Come on  Rach   	[0, 0, 0, 1, 0]	anger
30044	Phoebe	 Yeah  yeah I got that   	[1, 0, 0, 0, 0]	anger
7219	Rachel	 Yeah  I know   	[0, 0, 1, 0, 0]	anger
33242	Ross	 I would say that   	[0, 0, 0, 0, 1]	anger
27955	Ross	  Chandler  I sensed it was you   	[0, 0, 0, 0, 1]	anger
28124	Chandler	 What are you smiling about  What is so funny   	[0, 0, 0, 1, 0]	joy
4264	Chandler	" Okay  it s his first time out  so he s probably gonna wanna do some of the touristy things  I ll go to Cats  you go to the Russian Tea Room "" "	[0, 0, 0, 1, 0]	joy
26049	Joey	 I like her so much   	[0, 0, 1, 0, 0]	anger
4238	Ross	" I m telling you  she said she s looking for a relationship with someone exactly like me "" "	[0, 0, 0, 0, 1]	joy
32457	Ross	 Okay  Phoebe just just get get on the bike and \x97Hey  I \x92ll hold you up and and push you  Okay   	[0, 0, 0, 0, 1]	anger
10618	Ross	 It \x92s just I miss her so much   	[0, 0, 0, 0, 1]	joy
196	Rachel	 Y\xe2\x80\x99know what  you are mean boys  who are just being mean   	[0, 0, 1, 0, 0]	anger
11369	Ross	 Hey  Oh  I \x92m sorry  this is Cailin   	[0, 0, 0, 0, 1]	anger
14205	Monica	 You got the job   Why didn \x92t you tell me   	[0, 1, 0, 0, 0]	anger
1082	Chandler	" Emma  you even know it s your birthday today  You re one  One year old     that s little "" "	[0, 0, 0, 1, 0]	joy
30450	Rachel	 Monica  what are you talking about   	[0, 0, 1, 0, 0]	joy
23165	Rachel	 Oh yeah  there you go    	[0, 0, 1, 0, 0]	sadness
1098	Rachel	" Don t you have a laundry room in your building "" "	[0, 0, 1, 0, 0]	surprise
4382	Ross	" Oh  no no no  Nono  this is just vintage Rachel  I mean  things just sort of happen around you  I mean  you re off in Rachel land  doing your Rachel thing  totally oblivious to people s monkeys  or to people s feelings   "" "	[0, 0, 0, 0, 1]	joy
2424	Chandler	" I don t know  Maybe we can open this up somehow "" "	[0, 0, 0, 1, 0]	anger
23984	Ross	  Nope  Something else    	[0, 0, 0, 0, 1]	joy
24164	Chandler	 Yes  we don \x92t get married unless there \x92s a sign  Okay  so say uh  say you roll another eight  then there \x92s a definite sign that we should get married   	[0, 0, 0, 1, 0]	joy
19631	Rachel	 What   Joey got a turkey stuck on his head    	[0, 0, 1, 0, 0]	anger
33730	Phoebe	 If you could do that  I \x92d marry the hippity hop   	[1, 0, 0, 0, 0]	joy
37639	Joey	 Okay   Years ago  when I was backpacking across Western Europe \x85  	[0, 0, 1, 0, 0]	joy
16747	Chandler	 Tickets please   That \x92s courtside baby   	[0, 0, 0, 1, 0]	joy
1306	Chandler	" Oh yeah  and what would my opening line be   Excuse me  Blarrglarrghh  "" "	[0, 0, 0, 1, 0]	anger
17260	Rachel	" Who s this from "" "	[0, 0, 1, 0, 0]	anger
11504	Chandler	" Yeah  and at the end of the play  he  he got up y know  and he just started like   banging his hands together "" "	[0, 0, 0, 1, 0]	joy
26411	Joey	 Because she uh  she she thinks that you are blah and that you  Monica  are too loud   	[0, 0, 1, 0, 0]	anger
31999	Joey	 Where are you gettin \x92 this   	[0, 0, 1, 0, 0]	anger
2030	Monica	 Oh my God   	[0, 1, 0, 0, 0]	anger
20940	Rachel	 Ahhh  I think you look great  That bag is gonna get you that part   	[0, 0, 1, 0, 0]	joy
897	Monica	 Okay Marjorie  hit it   	[0, 1, 0, 0, 0]	anger
35560	Monica	" You said you loved me  I can t believe this "" "	[0, 1, 0, 0, 0]	anger
22554	Ross	 Okay   so  do you make the pizzas in one of those uh  wood burning ovens   	[0, 0, 0, 0, 1]	anger
39210	Chandler	 Yeah well  too bad we \x92re gonna have to return them   	[0, 0, 0, 1, 0]	anger
5001	Joey	 Oh    Yeah  you do   	[0, 0, 1, 0, 0]	joy
44327	Chandler	" Oh yeah  well can you picture me saying ""Go   to your room  You\ re grounded""    "	[0, 0, 0, 1, 0]	anger
8087	Chandler	 Fine with me   	[0, 0, 0, 1, 0]	joy
1464	Chandler	" Oh  so what you re saying is you re not completely fulfilled by Rick  Ethan and myself "" "	[0, 0, 0, 1, 0]	joy
34344	Chandler	 But we don \x92t do that   	[0, 0, 0, 1, 0]	joy
660	Chandler	" Oh  yeah  I d marry him just for his David Hasselhof impression alone  You know I m gonna be doing that at parties  right   "" "	[0, 0, 0, 1, 0]	anger
